link,name,number,org,price
//ke.qq.com/course/391925,Python全栈开发职业培训（第二阶段）,2人购买,优效学院,¥3376.22
//ke.qq.com/course/391968,Python全栈开发职业培训（第三阶段）,2人购买,优效学院,¥3376.22
//ke.qq.com/course/392137,Python全栈开发职业培训（第十一阶段）,2人购买,优效学院,¥3376.22
//ke.qq.com/course/240979,最全Python零基础入门到精通完整版-【京峰教育】,35人购买,京峰教育,¥3762.22
//ke.qq.com/course/451472#term_id=100540081,python+AI VIP体验视频,73人购买,灵犀教育,¥5.22
//ke.qq.com/course/package/18015,爬虫数据分析,37人购买,逻辑教育,¥3662.22
//ke.qq.com/course/389628,撩课-Python-GUI编程-PyQt5,34人购买,撩课教育,¥576.22
//ke.qq.com/course/435403,Python基础编程-Python小白到大神的必经之路,513人购买,缔凡教育,¥762.22
//ke.qq.com/course/276747,跟着王进老师学开发Python篇第一季：基础入门篇,89人购买,联科教育,¥77.22
//ke.qq.com/course/432836,Python基础编程实战VIP班,532人购买,灵犀教育,¥5377.22
//ke.qq.com/course/385048,Python Selenium 3 Web 自动化测试开发实践,31人购买,优特学院,¥5376.22
//ke.qq.com/course/478459,Python入门+实战训练营,87人购买,誉天教育,¥7.72
//ke.qq.com/course/265330,周哥教IT.Python基础与AI方向,678人购买,周哥教IT,¥5.22
//ke.qq.com/course/377659,Python最佳实践,310人购买,知数堂,¥5.22
//ke.qq.com/course/405125,零基础7天快速入门Python,506人购买,博学谷,¥5.22
//ke.qq.com/course/408784,零基础编程Python+pycharm到精通,66人购买,潮享教育,¥87.76
//ke.qq.com/course/417803,40天完成商业级Storm分布式流式计算框架Spark开源集群计算系统,5人购买,职坐标,¥9222.22
//ke.qq.com/course/418998,【进阶】揭秘全套R语言与GGPLOT可视化精髓 玩转可视化数据分析,2人购买,职坐标,¥9222.22
//ke.qq.com/course/471289#term_id=100564323,Python编程环境搭建和Pycharm开发工具使用,1人购买,充电了么,¥2.23
//ke.qq.com/course/404880#term_id=100564323,Python高级开发,506人购买,青灯教育,¥5077.22
//ke.qq.com/course/387593#term_id=100564323,MySQL Python 数据库管理,9人购买,优特学院,¥866.22
//ke.qq.com/course/449564#term_id=100564323,Python全栈高薪VIP体验班【缔凡教育】,39人购买,缔凡教育,¥7.72
//ke.qq.com/course/432117#term_id=100564323,Scrapy爬虫框架,534人购买,乐上轻至,¥17.22
//ke.qq.com/course/383855#term_id=100564323,Python基础到高级实战,612人购买,六星云课堂,¥5762.22
//ke.qq.com/course/413487#term_id=100564323,Python面向对象与模块化,988人购买,乐上轻至,¥7.22
//ke.qq.com/course/389721#term_id=100564323,撩课-12306抢票-实战项目-概述,31人购买,撩课教育,¥02.22
//ke.qq.com/course/403401#term_id=100564323,精品python核心教程,3万人购买,逻辑教育,¥76.22
//ke.qq.com/course/447234#term_id=100564323,青少年Python编程基础课,0人购买,上海谦与谦信息技术有限公司,¥76.22
//ke.qq.com/course/411155#term_id=100564323,Python数据分析班,501人购买,逻辑教育,¥5762.22
//ke.qq.com/course/344490,Python基础入门视频课程（最适合初学者的教程）,13人购买,汤小洋,¥87.22
//ke.qq.com/course/406612,Python零基础入门到进阶,359人购买,达亚学院,¥5362.22
//ke.qq.com/course/407400,Python进阶到项目实战,522人购买,达亚学院,¥1522.22
//ke.qq.com/course/369044,Python3 零基础到实战开发 工具篇,11人购买,EASON,¥5.22
//ke.qq.com/course/393562#term_id=100568147,Python全栈高薪VIP体验班【六星教育】,9874人购买,六星云课堂,¥5.22
//ke.qq.com/course/430152#term_id=100568147,Python3零基础完全入门,35人购买,上海慈德教育科技有限公司,¥776.22
//ke.qq.com/course/362040#term_id=100568147,LeetCode 百题斩(13~16),98人购买,解惑者学院,¥2.23
//ke.qq.com/course/374285#term_id=100568147,PyQt5（Python）实战视频课程,84人购买,李宁,¥377.22
//ke.qq.com/course/454840#term_id=100568147,10节课让你轻松学会python!,7389人购买,誉天教育,¥92.22
//ke.qq.com/course/366511#term_id=100568147,【全民编程】Python全栈课程之Python基础入门,37人购买,夏正东,¥7.22
//ke.qq.com/course/443551#term_id=100568147,Python数据分析实战VIP班,74人购买,灵犀教育,¥5776.22
//ke.qq.com/course/384424#term_id=100568147,Python500元预定,817人购买,六星云课堂,¥922.22
//ke.qq.com/course/445859#term_id=100568147,【NEXT测试课】爬虫,3人购买,机构测试号-课堂教研,¥52.22
//ke.qq.com/course/470783#term_id=100568147,Python零基础入门动画教程,8人购买,冯春龙,¥7.62
//ke.qq.com/course/320473#term_id=100568147,LeetCode 百题斩(7~9),15人购买,解惑者学院,¥2.23
//ke.qq.com/course/355098#term_id=100568147,LeetCode 百题斩(10~12),03人购买,解惑者学院,¥2.23
//ke.qq.com/course/474287#term_id=100568147,Python3从入门到核心编程系列课程,3人购买,陈华编程学院,¥7.72
//ke.qq.com/course/394305#term_id=100568147,Python人工智能VIP体验班【六星教育】,616人购买,六星云课堂,¥322.22
//ke.qq.com/course/429625#term_id=100568147,Q1数字货币Python量化,2人购买,小童Tobin,¥3207.22
//ke.qq.com/course/462412#term_id=100568147,python 验证码处理与Scrapy教程,2人购买,智锋互联,¥977.22
//ke.qq.com/course/410893#term_id=100568147,Python从入门到精通：零基础快速入门课程,5人购买,Stone,¥17.22
//ke.qq.com/course/390456#term_id=100568147,Python从菜鸟到高手,8人购买,李宁,¥377.22
//ke.qq.com/course/432270#term_id=100568147,Python全栈自动化基础课程,568人购买,上海凡猫教育科技有限公司,¥76.22
//ke.qq.com/course/374961#term_id=100568147,Python3 零基础到实战开发 基础篇 【限时优惠】,9人购买,EASON,¥76.22
//ke.qq.com/course/473294,【云知梦】Ansible自动化运维/运维高端课,2人购买,云知梦,¥527.22
//ke.qq.com/course/425135,Python400元预定,591人购买,逻辑教育,¥022.22
//ke.qq.com/course/456621,5天精通Python面向对象编程,2人购买,Stone,¥77.22
//ke.qq.com/course/476316,Python编程基础-Python模块基本使用/人工智能/快速就业,2人购买,拼客学院,¥76.22
//ke.qq.com/course/462568,python Scrapy-redis教程,2人购买,智锋互联,¥977.22
//ke.qq.com/course/470353,Python全栈核心应用实战|量化投资/AI机器学习/前端PYQT5软件开发,2人购买,金丝雀教育,¥877.22
//ke.qq.com/course/476485,Python进阶编程-Python高性能编程进阶/人工智能/快速就业,2人购买,拼客学院,¥956.22
//ke.qq.com/course/476502,Python进阶编程-Python高性能编程高级/人工智能/快速就业,2人购买,拼客学院,¥966.22
//ke.qq.com/course/465583,【Scrapy进阶】高速图片爬虫,2人购买,胡松,¥57.72
//ke.qq.com/course/458061,Python机器学习,8人购买,逻辑教育,¥3262.22
//ke.qq.com/course/476474,Python进阶编程-Python高性能编程入门/人工智能/快速就业,2人购买,拼客学院,¥576.22
//ke.qq.com/course/436832,Python自动化运维/线下付费面授交付课程/VIP课程【东方瑞通】,2人购买,东方瑞通 终身学习,¥3392.22
//ke.qq.com/course/424495,Python数据分析实战篇：从数据搜集到数据可视化完成房价数据分析,9人购买,智捷课堂,¥67.22
//ke.qq.com/course/455080,Python高薪VIP体验课-百度可视化开源框架入门实战【六星教育】,525人购买,六星云课堂,¥577.22
//ke.qq.com/course/435736,爬虫开发 快速获取海量数据 数据分析必会技能,83人购买,缔凡教育,¥5762.22
//ke.qq.com/course/418197,Python挖掘算法—Scipy快速入门及案例讲解,5人购买,北京盛久盈天科技有限公司,¥077.22
//ke.qq.com/course/418432,Python中级开发工程师加薪必备技能,9人购买,誉天教育,¥3266.22
//ke.qq.com/course/418286,Python可视化数据分析之MatplotLib从零到项目演练,5人购买,北京盛久盈天科技有限公司,¥477.22
//ke.qq.com/course/425399,数据结构和算法,65人购买,逻辑教育,¥5802.22
//ke.qq.com/course/433369,Python零基础到大数据实战案例教程,548人购买,黄埔课堂,¥866.22
//ke.qq.com/course/438751,Python在岗培训课程,60人购买,北京软通动力教育科技有限公司,¥576.22
//ke.qq.com/course/418091,Python网页+web前端实战开发,9人购买,誉天教育,¥5676.22
//ke.qq.com/course/440398,Python实战编程：从零学Python,2人购买,博学谷,¥537.22
//ke.qq.com/course/418141,Python数据分析库—Numpy基础教程,5人购买,北京盛久盈天科技有限公司,¥077.22
//ke.qq.com/course/418329,数据分析可视化—pandas+MatplotLib数据可视化PyECharts高级实战,5人购买,北京盛久盈天科技有限公司,¥477.22
//ke.qq.com/course/418392,Python核心编程,5人购买,逻辑教育,¥5802.22
//ke.qq.com/course/419080,黑客安全特训营,67人购买,逻辑教育,¥92.22
//ke.qq.com/course/440398,Python实战编程：从零学Python,2人购买,博学谷,¥537.22
//ke.qq.com/course/376722,python精选入门直播,96人购买,逻辑教育,¥77.22
//ke.qq.com/course/342457,【Scrapy进阶】高速图片爬虫,84人购买,胡松,¥57.72
//ke.qq.com/course/371456,Python全栈+AI工程师,4人购买,誉天教育,¥58622
//ke.qq.com/course/375183,七天训练营：数据自动采集机器人,58人购买,胡松,¥82.22
//ke.qq.com/course/397840,Python全栈习题课,8人购买,北京图灵学院,¥816.22
//ke.qq.com/course/349826,业界一致好评的Python入门教程（下）,09人购买,北京思无限科技有限责任公司,¥82.22
//ke.qq.com/course/349727,业界一致好评的Python入门教程（上）,99人购买,北京思无限科技有限责任公司,¥82.22
//ke.qq.com/course/361633,Python人工智能之核心编程(连载),532人购买,破茧科技学院,¥57.72
//ke.qq.com/course/362780,Python全栈+人工智能VIP班,1人购买,圆方圆学院,¥777.22
//ke.qq.com/course/334000,Python100例,0人购买,离岛,¥522.22
//ke.qq.com/course/305982,跟着王进老师学Python：通过案例讲变量,3人购买,联科教育,¥37.22
//ke.qq.com/course/306030,跟着王进老师学Python：通过案例讲循环,0人购买,联科教育,¥37.22
//ke.qq.com/course/306086,跟着王进老师学Python：通过案例讲字典(dict)集合,3人购买,联科教育,¥37.22
//ke.qq.com/course/306071,跟着王进老师学Python：通过案例讲Tuple元组,8人购买,联科教育,¥37.22
//ke.qq.com/course/306000,跟着王进老师学Python：通过案例讲运算符,3人购买,联科教育,¥37.22
//ke.qq.com/course/306021,跟着王进老师学Python：通过案例讲条件选择,3人购买,联科教育,¥37.22
//ke.qq.com/course/305952,跟着王进老师学Python：初识Python,9人购买,联科教育,¥57.22
//ke.qq.com/course/306096,跟着王进老师学Python：通过案例讲函数,7人购买,联科教育,¥37.22
//ke.qq.com/course/234126,征服Python3-快速突击班——零基础通关精讲,9人购买,博为峰网校在线教育,¥476.22
//ke.qq.com/course/385832,Python3.x全基础+Spider+数据分析库,3人购买,何路斌,¥56.22
//ke.qq.com/course/306091,跟着王进老师学Python：通过案例讲时间日期,0人购买,联科教育,¥37.22
//ke.qq.com/course/418426,机器学习—数据预备清洗与特征工程：实战豆瓣电影分析,3人购买,北京盛久盈天科技有限公司,¥077.22
//ke.qq.com/course/374409,【全民编程】Python全栈课程之Python进阶实战,6人购买,夏正东,¥17.22
//ke.qq.com/course/306063,跟着王进老师学Python：通过案例讲 List集合,8人购买,联科教育,¥37.22
//ke.qq.com/course/461508,学Python和玩似的,2人购买,高博应诺,¥57.72
//ke.qq.com/course/392048,Python全栈开发职业培训（第九阶段）,2人购买,优效学院,¥3376.22
//ke.qq.com/course/468582,【NEXT测试课】爬虫,2人购买,机构测试号-课堂教研,¥52.22
//ke.qq.com/course/392067,Python全栈开发职业培训（第五阶段）,2人购买,优效学院,¥3376.22
//ke.qq.com/course/365035,爬虫从入门到精通（实战教程）,5人购买,路飞学城,¥522.22
//ke.qq.com/course/476311,Python全栈工程师魔鬼训练营,2人购买,张子良,¥476.22
