agency,custom,price,task,title
威领word excel ppt,砍价,免费,共85节,Excel2016常用函数实操教程
武百分教育,543人最近报名,免费,共16节,2019临床执业医师/助理医师女性生殖系统
"张工教育,认证",83人最近报名,免费,共6节,注册环保工程师专业考试公开课
"松勤软件测试,认证",5122人购买,¥1462.22,随到随学,软件测试之python自动化测试2(web自动化+app自动化+接口自动化）
"张工教育,认证",18人最近报名,免费,共12节,注册一级建筑师公开课
"峰源教育,认证",80人最近报名,免费,进度：1/1节,【北京峰源】暖通设计公开课
卖盟学堂,83人购买,¥377.22,共6节,【云鹤直通车上】30天直通车入门到精通，教你独立开车到专业水准
"涵品教育,认证",538人最近报名,免费,共1节,ps/ps电商设计/淘宝美工/ps教程/平面设计/趣味PS零基础轻松学
"米你课堂,认证",90人最近报名,免费,共10节,平面设计总监直播课
瑞云学堂,071人购买,¥376.22,共19节,2020年中级会计师职称考试【中级财务管理-精讲班】 名师授课
"图灵学院,认证",526人最近报名,免费,共5节,并发编程核心框架AQS之独占锁原理详解【图灵学院】
"渡一教育,认证",47人最近报名,免费,共2节,IT行业职业发展之路
学呀教育.,8人购买,¥6666.22,课程5,UG产品+模具全科班
"米你课堂,认证",96人最近报名,免费,共4节,免费PS摄影后期 修图/调色/人像/风景/商业/合成/原创大师提升班
新盟教育,17人最近报名,免费,共1节,CCNA网络精品课之交换机基础原理
朱有鹏物联网大讲堂,37人购买,¥829.22,课程20,U-Boot和系统移植套餐
"马士兵老师,认证",40人最近报名,免费,共1节,超级小白编程入门
软谋教育,11人最近报名,免费,共2节,Web前端高级之javascript/js进阶实战【软谋教育】
志学鸿途教育学院,5人购买,¥127.22,课程3,土木复试全程土力学和混凝土结构设计原理
"柠檬班,认证",01人最近报名,免费,共2节,软件测试之常用bug管理系统【柠檬班】
"软谋教育,认证",528人最近报名,免费,共40节,C#/.Net从入门到实战(MVC/Winform/Sql/WPF/Ado.Net/WCF/零基础)
魔贝课凡,391人购买,¥8777.22,课程11,SEO+大咖系列课程包
新盟教育,551人最近报名,免费,共13节,华为HCNA/HCIA网络工程师全套实战教程（零基础小白入门到精通）
"张工教育,认证",44人最近报名,免费,共2节,注册电气工程师-专业基础公开课
晨露课堂,338人购买,¥977.22,共20节,2020高考物理一轮电磁学系统班
金鼎天成梓宁韩国语,683人最近报名,免费,共28节,韩语零基础学发音
方谊华,63人最近报名,免费,共1节,电气设计---七彩课堂
蜜蜂优课,2人购买,¥5566.22,课程7,【坤哥物理】高二全年同步课 选修3-1 3-2 3-3 3-4 3-5
跟我学教育,526人最近报名,免费,进度：9/12节,山东专升本计算机(2008-2019)真题最新考纲在线精讲QQ群149178806
艾巴优教育,88人最近报名,免费,共20节,PS+C4D /淘宝美工/PS教程+网店装修+电商设计 平面设计 艾巴优
扣丁学堂,55人购买,¥577.22,共7节,杨哥Linux云计算系列④：自动化运维CobblerSaltstack Ansible
"恩维客教育,认证",79人最近报名,免费,共6节,【恩维客教育】3Dmax室内设计效果图
"峰源教育,认证",727人购买,¥5.22,随到随学,[北京峰源]2019注册消防考试入门+专题解析班
北京跨学网教育科技有限公司,82人购买,¥837.22,课程2,高一物理同步精讲
思睿电商学院,3963人最近报名,免费,共9节,淘宝运营/免费流量/搜索排名/直通车玩法/数据化运营【思睿电商】
合尚教育,350人最近报名,免费,共15节,彩铅零基础到精通试听课【合尚教育-HESUN】美术绘画
"山本教育,认证",343人购买,¥872.22,2020-2-11开讲,山本教育素云VIP第九期恋爱技巧-基础班
张老师,336人最近报名,免费,共3节,《小规模纳税人全盘账》（做账、报表、报税）会计实操试听课
小任老师,514人购买,¥77.22,共156节,2020软考--网络工程师-上午历年真题解析视频（第三期）
张老师,857人最近报名,免费,共6节,小规模+一般纳税人+报税+内控会计实操全盘账上岗
茶树网学院,500人最近报名,免费,共18节,PS人像影楼/商业修图/摄影/精修/后期/人像精修
博毅创为大学堂,596人最近报名,免费,共10节,LayaAir2.0全栈开发
中艺影像,0294人购买,¥17.22,共20节,【摄影】摄影零基础班-新版/张沛/录播/中艺
米你课堂,855人购买,¥2.72,进度：10/22节,PS/AI训练营
大娃火焱社,523人最近报名,免费,共13节,【火焱社跨境】跨境电商速卖通aliexpress搜索优化公开课
生物岳老师,62人购买,¥5077.22,课程4,2020生物全套一轮二轮
"涵品教育,认证",03人最近报名,免费,共1节,PS/PS教程/摄影后期/人像精修/调色 合成 基础工具教学/思路解析
"米你课堂,认证",86人最近报名,免费,共1节,PS设计师资源课程
完颜形象教育,356人购买,¥77.22,共16节,女神服装风格(线下+线上）
原画人在线学院,338人最近报名,免费,共3节,原画人PS教程
"太阁IT认证中心,认证",545人最近报名,免费,共11节,小闫Sir带你学习HCIA、HCIP、HCIE直通车课程
光影学院,613人购买,¥3762.22,随到随学,摄影高级进阶VIP班
合尚教育,801人最近报名,免费,共9节,【直播】素描绘画试听课【合尚教育】美术绘画彩铅水彩油画漫画
思睿电商学院,359人最近报名,免费,共3节,数据化运营/淘宝运营/免费引流/免费流量/搜索排名/直通车新玩法
北京跨学网教育科技有限公司,52人购买,¥391.22,课程2,高三高考数学总复习
"齐论教育,认证",92人最近报名,免费,共2节,【爆款】淘宝手淘搜索原创秘籍、7-14天流量爆破【齐论】
